subject_id,trial,correct_response,response_time,trial_timeout,timeout_time,interTrial_timeout,left_image,right_image
1,1,0,1430474194361,0,NA,0,pics/3.jpg,pics/2.jpg
1,2,1,1430474197845,0,NA,0,pics/0.jpg,pics/4.jpg
1,3,0,1430474198849,0,NA,0,pics/3.jpg,pics/1.jpg
1,4,0,1430474201265,0,NA,0,pics/0.jpg,pics/2.jpg
1,5,1,1430474203853,0,NA,0,pics/2.jpg,pics/0.jpg
1,6,0,1430474204649,0,NA,0,pics/2.jpg,pics/4.jpg
1,7,1,1430474207281,0,NA,0,pics/1.jpg,pics/3.jpg
1,8,0,1430474208125,0,NA,0,pics/3.jpg,pics/0.jpg
1,9,0,1430474210460,0,NA,0,pics/4.jpg,pics/0.jpg
1,10,1,1430474212847,0,NA,0,pics/2.jpg,pics/1.jpg
1,11,0,1430474213687,0,NA,0,pics/1.jpg,pics/2.jpg
1,12,1,1430474216027,0,NA,0,pics/2.jpg,pics/3.jpg
1,13,0,1430474216847,0,NA,0,pics/1.jpg,pics/0.jpg
1,14,0,1430474219125,0,NA,0,pics/0.jpg,pics/1.jpg
1,15,0,1430474221560,0,NA,0,pics/4.jpg,pics/2.jpg
1,16,0,1430474223942,0,NA,0,pics/4.jpg,pics/1.jpg
1,17,0,1430474226462,0,NA,0,pics/3.jpg,pics/4.jpg
1,18,1,1430474228832,0,NA,0,pics/1.jpg,pics/4.jpg
1,19,1,1430474229750,0,NA,0,pics/0.jpg,pics/3.jpg
1,20,1,1430474230894,0,NA,0,pics/4.jpg,pics/3.jpg
