subject_id,trial,correct_response,response_time,trial_timeout,timeout_time,interTrial_timeout,left_image,right_image
12345678,1,0,1430484036125,0,NA,0,giraffe.jpg,mal.jpg
12345678,2,1,1430484038683,0,NA,0,arrested.png,giraffe.jpg
12345678,3,0,1430484039692,0,NA,0,arrested.png,snow_leopard.jpg
12345678,4,1,1430484042060,0,NA,0,mal.jpg,giraffe.jpg
12345678,5,0,1430484042992,0,NA,0,fiona.jpg,arrested.png
12345678,6,0,1430484045328,0,NA,0,snow_leopard.jpg,fiona.jpg
12345678,7,0,1430484047774,0,NA,0,giraffe.jpg,snow_leopard.jpg
12345678,8,1,1430484050166,0,NA,0,giraffe.jpg,fiona.jpg
12345678,9,0,1430484051400,0,NA,0,mal.jpg,snow_leopard.jpg
12345678,10,0,1430484053968,0,NA,0,arrested.png,fiona.jpg
12345678,11,0,1430484056876,0,NA,0,arrested.png,mal.jpg
12345678,12,0,1430484060476,0,NA,0,fiona.jpg,mal.jpg
12345678,13,1,1430484063461,0,NA,0,mal.jpg,arrested.png
12345678,14,1,1430484064759,0,NA,0,snow_leopard.jpg,mal.jpg
12345678,15,1,1430484066959,0,NA,0,mal.jpg,fiona.jpg
12345678,16,1,1430484068188,0,NA,0,giraffe.jpg,arrested.png
12345678,17,1,1430484069549,0,NA,0,fiona.jpg,giraffe.jpg
12345678,18,1,1430484070667,0,NA,0,fiona.jpg,snow_leopard.jpg
12345678,19,0,1430484071685,0,NA,0,snow_leopard.jpg,giraffe.jpg
12345678,20,0,1430484074791,0,NA,0,snow_leopard.jpg,arrested.png
